relative_path,bytes,pages,text_chars,status,text_file
1.0 Maintenance & Repair\1.03 Planning & Scheduling\2. Tactical\3-Stage Wash Bay For Cold Climate.pdf,70641,6,10571,ok,texts\1.0 Maintenance & Repair__1.03 Planning & Scheduling__2. Tactical__3-Stage Wash Bay For Cold Climate.txt
1.0 Maintenance & Repair\1.03 Planning & Scheduling\2. Tactical\Improved Operations Using Specialized Inspection Facility.pdf,238281,6,7436,ok,texts\1.0 Maintenance & Repair__1.03 Planning & Scheduling__2. Tactical__Improved Operations Using Specialized Inspection Facility.txt
1.0 Maintenance & Repair\1.04 Repair Management\1. Strategic\Repair Management.pdf,612766,22,36097,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__1. Strategic__Repair Management.txt
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\793B Workshop Test.pdf,7476355,9,8180,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__793B Workshop Test.txt
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Cat 6015 Disassembly of shovel final brake.pdf,592336,0,0,error,
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Contamination Control Using Plugs & Caps.pdf,522533,9,10460,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__Contamination Control Using Plugs & Caps.txt
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Detecting Combustion Gas Leaks to Cooling System.pdf,639142,14,13409,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__Detecting Combustion Gas Leaks to Cooling System.txt
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Failure Analysis Report.pdf,280538,10,7969,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__Failure Analysis Report.txt
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Job Analysis Board.pdf,302085,9,16695,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__Job Analysis Board.txt
1.0 Maintenance & Repair\1.04 Repair Management\2. Tactical\Mobile Hangar for Welding Truck Bodies in the Field.pdf,460185,6,8449,ok,texts\1.0 Maintenance & Repair__1.04 Repair Management__2. Tactical__Mobile Hangar for Welding Truck Bodies in the Field.txt
